GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JThreadPool,org.flossware.jthreadpool,ThreadPoolConfig.Builder,0,96,0,10,0,24,0,11,0,6
JThreadPool,org.flossware.jthreadpool,ManagedThreadPool,0,207,0,2,0,49,0,15,0,14
JThreadPool,org.flossware.jthreadpool,ThreadPoolStats,0,80,0,0,0,16,0,8,0,8
JThreadPool,org.flossware.jthreadpool,ThreadPoolConfig,0,38,0,0,0,12,0,7,0,7
